Step,Value,Legend
1000.0,-12.596394538879395,Pos+CNN
2000.0,-12.735945701599121,Pos+CNN
3000.0,-12.644157934188842,Pos+CNN
4000.0,-12.618565056324005,Pos+CNN
5000.0,-12.491856526255608,Pos+CNN
6000.0,-12.656832648688555,Pos+CNN
7000.0,-12.613938382968605,Pos+CNN
8000.0,-12.554888344923691,Pos+CNN
9000.0,-12.634894200428361,Pos+CNN
10000.0,-12.821926384022666,Pos+CNN
11000.0,-12.881823030519774,Pos+CNN
12000.0,-13.018517201183116,Pos+CNN
13000.0,-13.060827167616269,Pos+CNN
14000.0,-12.956286871628643,Pos+CNN
15000.0,-12.93891300160373,Pos+CNN
16000.0,-12.94545665511241,Pos+CNN
17000.0,-12.92098345729026,Pos+CNN
18000.0,-12.870830385423673,Pos+CNN
19000.0,-12.766054058184348,Pos+CNN
20000.0,-12.71712017546556,Pos+CNN
21000.0,-12.721443037847067,Pos+CNN
22000.0,-12.662686597929811,Pos+CNN
23000.0,-12.547189854626948,Pos+CNN
24000.0,-12.603788224749605,Pos+CNN
25000.0,-12.602574347951212,Pos+CNN
26000.0,-12.576119565490174,Pos+CNN
27000.0,-12.764708320644619,Pos+CNN
28000.0,-12.825201942850914,Pos+CNN
29000.0,-12.785798411183833,Pos+CNN
30000.0,-12.712582671227668,Pos+CNN
31000.0,-12.553707487785303,Pos+CNN
32000.0,-12.486725629402507,Pos+CNN
33000.0,-12.489834616563362,Pos+CNN
34000.0,-12.37566164183871,Pos+CNN
35000.0,-12.289800017037424,Pos+CNN
36000.0,-12.334955621272833,Pos+CNN
37000.0,-12.21654096055526,Pos+CNN
38000.0,-12.070755359213289,Pos+CNN
39000.0,-12.043905737843811,Pos+CNN
40000.0,-12.093247249428792,Pos+CNN
41000.0,-12.000194536615554,Pos+CNN
42000.0,-11.94562572203148,Pos+CNN
43000.0,-11.93014985585178,Pos+CNN
44000.0,-11.947132944571642,Pos+CNN
45000.0,-11.931767445338055,Pos+CNN
46000.0,-11.791248113369614,Pos+CNN
47000.0,-11.890181200636315,Pos+CNN
48000.0,-11.931264172083381,Pos+CNN
49000.0,-11.82607016323202,Pos+CNN
50000.0,-11.893284731013411,Pos+CNN
51000.0,-11.81367133484055,Pos+CNN
52000.0,-11.76343915168922,Pos+CNN
53000.0,-11.623122666669456,Pos+CNN
54000.0,-11.612401866587936,Pos+CNN
55000.0,-11.451797394443842,Pos+CNN
56000.0,-11.333518943254976,Pos+CNN
57000.0,-11.42643185755768,Pos+CNN
58000.0,-11.374816370865709,Pos+CNN
59000.0,-11.340774992324864,Pos+CNN
60000.0,-11.281763414797243,Pos+CNN
61000.0,-11.146303116524422,Pos+CNN
62000.0,-11.145061292531086,Pos+CNN
63000.0,-11.146225309737417,Pos+CNN
64000.0,-11.150839550842342,Pos+CNN
65000.0,-11.06510476705633,Pos+CNN
66000.0,-10.977498656663718,Pos+CNN
67000.0,-10.934303808059047,Pos+CNN
68000.0,-10.940438339564665,Pos+CNN
69000.0,-10.947310847024909,Pos+CNN
70000.0,-11.003950689118854,Pos+CNN
71000.0,-10.93820449629194,Pos+CNN
72000.0,-10.853400403984667,Pos+CNN
73000.0,-10.797435305507845,Pos+CNN
74000.0,-10.694039627802642,Pos+CNN
75000.0,-10.61613295738663,Pos+CNN
76000.0,-10.63405825646249,Pos+CNN
77000.0,-10.588747460185996,Pos+CNN
78000.0,-10.605390628787415,Pos+CNN
79000.0,-10.584707860730003,Pos+CNN
80000.0,-10.579985187801535,Pos+CNN
81000.0,-10.696872874135945,Pos+CNN
82000.0,-10.637746918035958,Pos+CNN
83000.0,-10.549255758962772,Pos+CNN
84000.0,-10.494001852392808,Pos+CNN
85000.0,-10.3892339821395,Pos+CNN
86000.0,-10.392560330823052,Pos+CNN
87000.0,-10.363595032101113,Pos+CNN
88000.0,-10.320559046899255,Pos+CNN
89000.0,-10.224435564998018,Pos+CNN
90000.0,-10.24999285664863,Pos+CNN
91000.0,-10.159042200251134,Pos+CNN
92000.0,-10.086616461240775,Pos+CNN
93000.0,-10.066623063410669,Pos+CNN
94000.0,-9.976855543205223,Pos+CNN
95000.0,-9.816162695091593,Pos+CNN
96000.0,-9.851201423129982,Pos+CNN
97000.0,-9.822392095839449,Pos+CNN
98000.0,-10.023703511784172,Pos+CNN
99000.0,-9.99279392899892,Pos+CNN
100000.0,-9.873614304112694,Pos+CNN
101000.0,-9.86929716388875,Pos+CNN
102000.0,-9.884138665939062,Pos+CNN
103000.0,-9.86630497597402,Pos+CNN
104000.0,-9.840459943926417,Pos+CNN
105000.0,-9.884934539656122,Pos+CNN
106000.0,-9.807264818059668,Pos+CNN
107000.0,-9.76055067841401,Pos+CNN
108000.0,-9.677631787071435,Pos+CNN
109000.0,-9.562342817613798,Pos+CNN
110000.0,-9.53019301720247,Pos+CNN
111000.0,-9.444837464853089,Pos+CNN
112000.0,-9.54604010111666,Pos+CNN
113000.0,-9.53524481565006,Pos+CNN
114000.0,-9.44790565912659,Pos+CNN
115000.0,-9.381501548960788,Pos+CNN
116000.0,-9.325018024247123,Pos+CNN
117000.0,-9.306944889834694,Pos+CNN
118000.0,-9.32922815567316,Pos+CNN
119000.0,-9.27695122283457,Pos+CNN
120000.0,-9.208943686640962,Pos+CNN
