Step,Value,Legend
1000.0,-12.596394538879395,No motion
2000.0,-12.735945701599121,No motion
3000.0,-12.644157934188842,No motion
4000.0,-12.618565056324005,No motion
5000.0,-12.491856526255608,No motion
6000.0,-12.656832648688555,No motion
7000.0,-12.613938382968605,No motion
8000.0,-12.554888344923691,No motion
9000.0,-12.634894200428361,No motion
10000.0,-12.821926384022666,No motion
11000.0,-12.881823030519774,No motion
12000.0,-13.018517201183116,No motion
13000.0,-13.060827167616269,No motion
14000.0,-12.956286871628643,No motion
15000.0,-12.93891300160373,No motion
16000.0,-12.94545665511241,No motion
17000.0,-12.92098345729026,No motion
18000.0,-12.870830385423673,No motion
19000.0,-12.766054058184348,No motion
20000.0,-12.71712017546556,No motion
21000.0,-12.721443037847067,No motion
22000.0,-12.662686597929811,No motion
23000.0,-12.547189854626948,No motion
24000.0,-12.603788224749605,No motion
25000.0,-12.602574347951212,No motion
26000.0,-12.576119565490174,No motion
27000.0,-12.764708320644619,No motion
28000.0,-12.825201942850914,No motion
29000.0,-12.785798411183833,No motion
30000.0,-12.712582671227668,No motion
31000.0,-12.553707487785303,No motion
32000.0,-12.486725629402507,No motion
33000.0,-12.489834616563362,No motion
34000.0,-12.37566164183871,No motion
35000.0,-12.289800017037424,No motion
36000.0,-12.334955621272833,No motion
37000.0,-12.21654096055526,No motion
38000.0,-12.070755359213289,No motion
39000.0,-12.043905737843811,No motion
40000.0,-12.093247249428792,No motion
41000.0,-12.000194536615554,No motion
42000.0,-11.94562572203148,No motion
43000.0,-11.93014985585178,No motion
44000.0,-11.947132944571642,No motion
45000.0,-11.931767445338055,No motion
46000.0,-11.791248113369614,No motion
47000.0,-11.890181200636315,No motion
48000.0,-11.931264172083381,No motion
49000.0,-11.82607016323202,No motion
50000.0,-11.893284731013411,No motion
51000.0,-11.81367133484055,No motion
52000.0,-11.76343915168922,No motion
53000.0,-11.623122666669456,No motion
54000.0,-11.612401866587936,No motion
55000.0,-11.451797394443842,No motion
56000.0,-11.333518943254976,No motion
57000.0,-11.42643185755768,No motion
58000.0,-11.374816370865709,No motion
59000.0,-11.340774992324864,No motion
60000.0,-11.281763414797243,No motion
61000.0,-11.146303116524422,No motion
62000.0,-11.145061292531086,No motion
63000.0,-11.146225309737417,No motion
64000.0,-11.150839550842342,No motion
65000.0,-11.06510476705633,No motion
66000.0,-10.977498656663718,No motion
67000.0,-10.934303808059047,No motion
68000.0,-10.940438339564665,No motion
69000.0,-10.947310847024909,No motion
70000.0,-11.003950689118854,No motion
71000.0,-10.93820449629194,No motion
72000.0,-10.853400403984667,No motion
73000.0,-10.797435305507845,No motion
74000.0,-10.694039627802642,No motion
75000.0,-10.61613295738663,No motion
76000.0,-10.63405825646249,No motion
77000.0,-10.588747460185996,No motion
78000.0,-10.605390628787415,No motion
79000.0,-10.584707860730003,No motion
80000.0,-10.579985187801535,No motion
81000.0,-10.696872874135945,No motion
82000.0,-10.637746918035958,No motion
83000.0,-10.549255758962772,No motion
84000.0,-10.494001852392808,No motion
85000.0,-10.3892339821395,No motion
86000.0,-10.392560330823052,No motion
87000.0,-10.363595032101113,No motion
88000.0,-10.320559046899255,No motion
89000.0,-10.224435564998018,No motion
90000.0,-10.24999285664863,No motion
91000.0,-10.159042200251134,No motion
92000.0,-10.086616461240775,No motion
93000.0,-10.066623063410669,No motion
94000.0,-9.976855543205223,No motion
95000.0,-9.816162695091593,No motion
96000.0,-9.851201423129982,No motion
97000.0,-9.822392095839449,No motion
98000.0,-10.023703511784172,No motion
99000.0,-9.99279392899892,No motion
100000.0,-9.873614304112694,No motion
101000.0,-9.86929716388875,No motion
102000.0,-9.884138665939062,No motion
103000.0,-9.86630497597402,No motion
104000.0,-9.840459943926417,No motion
105000.0,-9.884934539656122,No motion
106000.0,-9.807264818059668,No motion
107000.0,-9.76055067841401,No motion
108000.0,-9.677631787071435,No motion
109000.0,-9.562342817613798,No motion
110000.0,-9.53019301720247,No motion
111000.0,-9.444837464853089,No motion
112000.0,-9.54604010111666,No motion
113000.0,-9.53524481565006,No motion
114000.0,-9.44790565912659,No motion
115000.0,-9.381501548960788,No motion
116000.0,-9.325018024247123,No motion
117000.0,-9.306944889834694,No motion
118000.0,-9.32922815567316,No motion
119000.0,-9.27695122283457,No motion
120000.0,-9.208943686640962,No motion
121000.0,-9.058755033879349,No motion
122000.0,-8.980244076237506,No motion
123000.0,-8.941811887608125,No motion
124000.0,-8.985779928939388,No motion
